,Live Spectrum 8-8-2024 1:32:17 PM,
Wavelength [nm],Absorbance,
193.589,0.2328362,
194.027,0.2330253,
194.465,0.1936861,
194.903,0.1490785,
195.340,0.1149696,
195.778,0.08432329,
196.216,0.1464569,
196.654,0.09301245,
197.092,0.02427856,
197.530,-0.02197523,
197.968,-0.04828765,
198.406,-0.04349243,
198.844,-0.007847414,
199.282,0.002170997,
199.720,-0.04566674,
200.158,-0.1413958,
200.596,-0.1014485,
201.034,0.006275125,
201.472,0.08083525,
201.909,0.1036235,
202.347,0.1055559,
202.785,0.1466603,
203.223,0.1063678,
203.661,0.07023185,
204.099,0.06219674,
204.537,0.09308729,
204.975,0.08150187,
205.413,0.02522546,
205.851,0.01030338,
206.289,0.0525571,
206.727,0.1073573,
207.165,0.1295722,
207.603,0.1187821,
208.040,0.06364531,
208.478,0.01616753,
208.916,0.0216562,
209.354,0.07567136,
209.792,0.07870034,
210.230,0.07803358,
210.668,0.07508995,
211.106,0.05826229,
211.544,0.002156218,
211.982,-0.02711776,
212.420,-0.01186861,
212.858,0.01556471,
213.296,0.0376744,
213.734,0.08417483,
214.172,0.1445821,
214.609,0.1565276,
215.047,0.131615,
215.485,0.1055343,
215.923,0.1312249,
216.361,0.1200602,
216.799,0.1049724,
217.237,0.07184158,
217.675,0.01091776,
218.113,-0.06009493,
218.551,-0.02906018,
218.989,0.05147343,
219.427,0.1634894,
219.865,0.2564622,
220.303,0.1819679,
220.740,0.05541049,
221.178,0.03976963,
221.616,0.04651678,
222.054,0.05047868,
222.492,0.0446323,
222.930,0.05707972,
223.368,0.09559561,
223.806,0.1241235,
224.244,0.1571745,
224.682,0.1785617,
225.120,0.08732873,
225.558,0.08888048,
225.996,0.06633905,
226.434,0.0105889,
226.871,-0.02657049,
227.309,0.03869043,
227.747,0.06837814,
228.185,0.07172118,
228.623,0.04159992,
229.061,0.0106634,
229.499,0.01598281,
229.937,0.08918774,
230.375,0.1256214,
230.813,0.1123514,
231.251,0.103883,
