,Live Spectrum 8-8-2024 9:35:15 PM,
Wavelength [nm],Absorbance,
193.589,6,
194.027,0.1729489,
194.465,0.1737502,
194.903,0.1326274,
195.340,0.04265526,
195.778,-0.07204307,
196.216,-0.01531766,
196.654,0.05726871,
197.092,-0.06283319,
197.530,-0.5175467,
197.968,6,
198.406,0.06885401,
198.844,0.1293876,
199.282,0.2595167,
199.720,0.4777905,
200.158,0.4236246,
200.596,6,
201.034,-0.0294392,
201.472,0.04392778,
201.909,0.0180696,
202.347,-0.06659432,
202.785,-0.3934865,
203.223,-0.7248287,
203.661,-0.3584871,
204.099,-0.2285787,
204.537,-0.7040474,
204.975,1.017411,
205.413,0.4595164,
205.851,0.3130639,
206.289,0.02062689,
206.727,-0.5087685,
207.165,-0.3811815,
207.603,-0.3827094,
208.040,6,
208.478,6,
208.916,0.2161101,
209.354,0.184369,
209.792,0.1743105,
210.230,0.2096083,
210.668,0.3118396,
211.106,0.4449523,
211.544,0.0186133,
211.982,0.03670169,
212.420,0.1097861,
212.858,0.07351917,
213.296,-0.01409357,
213.734,0.06482427,
214.172,0.04466337,
214.609,-0.1707215,
215.047,-0.5087701,
215.485,-0.5355149,
215.923,-0.02248476,
216.361,0.2593083,
216.799,0.2240295,
217.237,0.05649017,
217.675,-0.1069333,
218.113,-0.2259954,
218.551,-0.1974516,
218.989,-0.07965033,
219.427,0.0009994275,
219.865,-0.07158518,
220.303,6,
220.740,6,
221.178,6,
221.616,6,
222.054,0.9840344,
222.492,6,
222.930,0.1290875,
223.368,6,
223.806,6,
224.244,-0.6844735,
224.682,0.1856583,
225.120,-0.5575095,
225.558,-0.1442354,
225.996,-0.1199243,
226.434,-0.3068705,
226.871,-0.964936,
227.309,-0.3498383,
227.747,-0.1902072,
228.185,-0.05682611,
228.623,-0.02013357,
229.061,-0.03262808,
229.499,-0.6212232,
229.937,-0.1049066,
230.375,-0.4512972,
230.813,-0.224694,
231.251,-0.1470782,
231.689,-0.1286834,
232.127,-0.1079265,
232.565,-0.2078707,
233.003,-0.1500676,
233.440,0.4105089,
233.878,0.4909425,
234.316,0.2453208,
234.754,0.06168921,
235.192,-0.01776025,
235.630,-0.2431905,
236.068,6,
236.506,6,
236.944,-0.2794255,
237.382,-0.1763669,
237.820,-0.2359056,
238.258,-0.3370107,
238.696,-0.205956,
239.134,6,
239.571,-0.4029004,
240.009,-0.7574947,
240.447,6,
240.885,6,
241.323,6,
241.761,6,
242.199,-0.07855077,
242.637,0.0790503,
243.075,-0.2756123,
243.513,6,
243.951,-0.6693428,
244.389,-0.1953195,
244.827,6,
245.265,0.1399456,
245.702,-0.01550948,
246.140,6,
246.578,1.479454,
247.016,0.5395943,
247.454,-0.01696316,
247.892,-0.5675303,
248.330,-0.8729091,
248.768,-0.6570673,
249.206,-0.09301583,
249.644,-0.1492502,
250.082,-0.457898,
250.520,0.2062281,
250.958,0.7985933,
251.396,1.422755,
251.834,0.1809237,
252.271,-0.7884375,
252.709,0.2434762,
253.147,0.1141675,
253.585,-0.1508515,
254.023,-0.05360482,
254.461,0.03157915,
254.899,0.05693868,
255.337,-0.06391284,
255.775,-0.5354447,
256.213,-0.4732591,
256.651,-0.8834998,
257.089,-0.838577,
257.527,-0.2595862,
257.965,-0.07802437,
258.402,-0.4091334,
258.840,6,
259.278,-0.3734743,
259.716,-0.1553102,
260.154,-0.1561585,
260.592,0.0531474,
261.030,0.06601246,
261.468,0.1442463,
261.906,0.2588129,
262.344,0.287792,
262.782,-0.05141823,
263.220,-0.6279715,
263.658,-0.5449202,
264.096,-0.150352,
264.533,0.1433806,
264.971,0.1895414,
265.409,0.09698967,
265.847,0.03465623,
266.285,-0.003781922,
266.723,-0.03545438,
267.161,-0.1573814,
267.599,6,
268.037,-0.8099379,
268.475,-0.4408244,
268.913,-0.3468807,
269.351,-0.1908929,
269.789,0.05484842,
270.227,0.3635237,
270.665,0.05543747,
271.102,6,
271.540,6,
271.978,6,
272.416,-0.4114089,
272.854,-0.3422769,
273.292,-0.9012996,
273.730,-0.9278831,
274.168,-0.4993128,
274.606,-0.2036918,
275.044,-0.001646274,
275.482,0.2073653,
275.920,0.330515,
276.358,0.407422,
276.796,0.3260449,
277.233,0.04435901,
277.671,-0.09839397,
278.109,0.005798404,
278.547,-0.3063518,
278.985,6,
