Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
193.589,0.08770387,-0.04747092,0.1025294,-0.01054435,0.146785,0.06614673,0.2328362,-0.0002789972,-0.5687367,0.1717663,-0.05159058,0.1065429,-0.02536284,0.04769927,-0.1033056,-0.3832168,-0.3788275,6,6,-0.06694679,6,6,-0.7468936,0.3679768,0.01223446,6,6
194.027,0.002204918,-0.2096881,0.0668828,-0.1833909,0.1097414,-0.07751083,0.2330253,-0.1731049,-0.5193284,0.1795873,-0.1458244,0.1779602,-0.1244562,0.107364,-0.2395314,-0.03370306,-0.5891962,6,0.1729489,0.1655836,0.001397693,0.2272406,-0.2780866,0.4583322,0.2841182,0.5918123,6
194.465,-0.01401751,-0.04213364,0.1460689,-0.2119436,0.06822238,-0.1645934,0.1936861,-0.173386,-0.143933,0.2707681,-0.09479442,0.2719112,-0.02689469,0.1498048,-0.2187135,0.09801639,-0.3171214,0.6084798,0.1737502,0.3811597,-0.1201969,0.1213892,-0.1350763,0.2848751,0.2336725,0.2210881,6
194.903,0.001787828,0.1031342,0.2406117,-0.146677,0.04216687,-0.1757984,0.1490785,-0.1705308,0.1270637,0.3546212,-0.03026888,0.2719921,0.09615076,0.1469444,-0.1679245,0.0822224,-0.1366292,0.3026093,0.1326274,0.4948701,-0.1809596,0.06150788,-0.1252332,0.08072565,0.1081512,0.01323204,0.507147
195.340,-0.001473393,0.04915027,0.241578,-0.00304963,0.03266932,-0.1476918,0.1149696,-0.1934514,0.3428229,0.3279932,0.02176672,0.1792909,0.06926015,0.08655902,-0.1275707,-0.03731184,-0.07322042,0.1203815,0.04265526,0.3996476,-0.2242546,-0.01683384,-0.1808526,-0.1083456,-0.01442569,-0.1601669,0.1508535
195.778,-0.1117021,0.0595466,0.0887896,0.2505171,0.02143459,-0.1082785,0.08432329,-0.1379371,0.5877686,0.1562019,0.1696049,0.09321922,-0.1403762,-0.03717657,-0.04221508,-0.1758538,0.06652397,-0.03131094,-0.07204307,0.1064717,-0.2581696,-0.1450203,-0.1569458,-0.2537567,-0.0321785,-0.2935943,0.1394104
196.216,-0.0538902,0.06014298,-0.003216251,0.2011853,0.05106949,-0.1397322,0.1464569,-0.1073825,0.814717,0.204078,0.1245195,0.08122641,-0.261099,0.05485977,-0.06483386,-0.1374802,0.2818265,-0.005256354,-0.01531766,-0.104591,-0.06955735,-0.1138655,0.2771138,-0.2389387,0.07502958,-0.235263,0.3027401
196.654,-0.0580613,0.007099484,0.05645296,0.05441743,0.05668685,-0.135208,0.09301245,-0.1511299,0.2658071,0.1501935,0.03573582,-0.01015947,-0.285416,0.1709914,-0.1698019,0.008445795,0.2197346,0.009756418,0.05726871,-0.0732224,0.1239521,-0.04757589,0.3086998,-0.07674965,0.07855811,-0.1164854,0.2152441
197.092,-0.09659765,0.007821633,0.1629653,-0.07981299,0.02098641,-0.1248281,0.02427856,-0.2262,-1.249679,0.05011392,-0.01150468,-0.1003506,-0.2870938,0.1121935,-0.2407993,0.03983357,-1.010932,-0.05165585,-0.06283319,-0.1583831,0.02352166,-0.1403886,0.02966426,-0.04651314,-0.008814158,-0.1638843,0.06288576
197.530,-0.1387374,0.06281542,0.2155093,-0.136443,-0.03886037,-0.06941617,-0.02197523,-0.2482104,6,-0.02152069,0.02191824,-0.1523445,-0.2561364,-0.03791443,-0.2420983,-0.07736189,6,-0.2834555,-0.5175467,-0.5430129,-0.4359231,-0.5304584,-0.4789719,-0.2505453,-0.2536382,-0.5128988,-0.3810588
197.968,-0.162392,0.06574214,0.1337354,-0.06426169,-0.08713664,0.1096874,-0.04828765,-0.1273362,-1.680294,0.001908171,0.1399107,-0.1411007,-0.1519884,-0.08300622,-0.1788426,-0.2641043,-1.308972,-0.2841898,6,6,6,6,-0.03351506,0.04746844,-0.4331139,6,6
198.406,-0.1256173,0.03249939,0.01339058,-0.02750232,-0.05693959,0.07089158,-0.04349243,-0.006832619,-0.3144324,0.1957539,0.1692924,-0.06976348,-0.1232592,-0.01443405,-0.212998,-0.2137777,0.2597121,-0.1570806,0.06885401,-0.09728541,-0.1112214,-0.06934216,-0.3652474,-0.02627439,-0.2671838,0.1500622,1.112436
198.844,-0.0948152,0.1171937,-0.02358315,-0.0308693,0.009687808,0.01473758,-0.007847414,0.006464863,-0.1977368,0.2804944,0.1539491,-0.01311938,-0.1044568,0.04396926,-0.1913626,-0.1217111,0.4251469,-0.06506808,0.1293876,-0.0437533,-0.07763888,0.01809107,-0.189977,0.06649227,-0.09655129,0.1470661,0.2440332
199.282,-0.1264741,0.2761686,-0.07389698,-0.006949636,0.006027042,-0.01324913,0.002170997,-0.0834701,-0.224706,0.2689068,0.1279582,-0.02430746,-0.1420205,-0.003118046,-0.1572186,-0.00826365,0.2728571,-0.02065882,0.2595167,0.1100974,-0.02955297,0.1766994,-0.1265958,0.1326675,0.04611908,0.2865395,0.2529327
199.720,-0.2071758,0.4106296,-0.1307846,0.05672428,-0.06485556,-0.01277911,-0.04566674,-0.1922676,-0.2375647,0.1486443,0.1175672,-0.1038473,-0.210501,-0.1497651,-0.1700791,0.3827042,0.1490907,0.02979211,0.4777905,0.8629307,0.02974857,0.6713417,-0.1473772,0.2098209,0.2981786,0.8202647,0.4347317
200.158,-0.2289246,0.3425625,-0.07327709,0.06583547,-0.06271682,-0.0352396,-0.1413958,-0.2191135,-0.1779125,-0.04953417,0.1315925,-0.1675211,-0.2131575,-0.2614662,-0.2572175,6,0.1353748,0.08296981,0.4236246,6,0.01729629,1.242285,-0.1746363,0.2055059,0.3255603,1.194432,0.5267758
200.596,-0.1936209,0.2423957,0.05381309,-0.0145289,0.1188738,-0.04941503,-0.1014485,-0.1061363,-0.1636159,-0.07774259,0.07087245,-0.07735181,-0.07630044,-0.1574408,-0.2271563,6,0.1474714,0.7502569,6,6,0.01652914,6,-0.3883263,1.349539,6,6,6
201.034,-0.1668161,0.1660136,0.06910643,-0.06153032,0.1112392,-0.03970091,0.006275125,-0.00201498,-0.1579973,-0.06257,0.003603656,-0.04991921,-0.02671251,-0.07667784,-0.1709333,-0.2017721,0.02973659,0.05470777,-0.0294392,-0.2679943,0.2524382,0.0449197,1.068079,0.01687544,-0.00578407,0.07177254,-0.1021727
201.472,-0.1571616,0.1005059,0.004114241,-0.06259909,0.02454367,-0.03969062,0.08083525,0.04123902,-0.1054351,-0.09517919,-0.05095356,-0.05580457,-0.00780569,-0.02645952,-0.08862144,0.06717348,-0.09568492,0.07999028,0.04392778,-0.1093131,0.1485756,0.08952434,0.1955413,0.07911066,0.0564946,0.09334918,0.01986212
201.909,-0.1578904,0.0795987,-0.07995011,-0.01524834,-0.04928711,-0.01365817,0.1036235,0.03853405,0.02447023,-0.1234028,-0.06941916,-0.06474024,0.001241404,-0.006275133,0.007377092,0.1203364,-0.110459,0.02987575,0.0180696,-0.09952957,0.07268796,0.02455826,0.03216279,0.04670224,0.04237553,0.03433728,-0.01164899
